Skip Frames,Confidence Config,Media,Factor_escala,Count In Real,Count Out Real,Count In Estimated,Count Out Estimated,Error In Abs,Error In Rel,Error Out Abs,Error Out Rel,Error Global
30,0.3,135,0.007407407407407408,8,12,3,10,5,0.625,2,0.16666666666666666,0.35
30,0.3,185,0.005405405405405406,8,12,3,7,5,0.625,5,0.4166666666666667,0.5
30,0.4,45,0.022222222222222223,8,12,4,3,4,0.5,9,0.75,0.65
30,0.4,65,0.015384615384615385,8,12,4,6,4,0.5,6,0.5,0.5
30,0.4,85,0.011764705882352941,8,12,2,10,6,0.75,2,0.16666666666666666,0.4
30,0.4,95,0.010526315789473684,8,12,2,11,6,0.75,1,0.08333333333333333,0.35
30,0.4,115,0.008695652173913044,8,12,3,10,5,0.625,2,0.16666666666666666,0.35
30,0.4,135,0.007407407407407408,8,12,4,8,4,0.5,4,0.3333333333333333,0.4
30,0.4,185,0.005405405405405406,8,12,2,6,6,0.75,6,0.5,0.6
30,0.5,45,0.022222222222222223,8,12,4,3,4,0.5,9,0.75,0.65
30,0.5,65,0.015384615384615385,8,12,3,6,5,0.625,6,0.5,0.55
30,0.5,85,0.011764705882352941,8,12,2,8,6,0.75,4,0.3333333333333333,0.5
30,0.5,95,0.010526315789473684,8,12,2,10,6,0.75,2,0.16666666666666666,0.4
30,0.5,115,0.008695652173913044,8,12,3,10,5,0.625,2,0.16666666666666666,0.35
30,0.5,135,0.007407407407407408,8,12,3,8,5,0.625,4,0.3333333333333333,0.45
30,0.5,185,0.005405405405405406,8,12,2,6,6,0.75,6,0.5,0.6
